,lane_num_shift,lanechange,x
93597,5,left turn,0
93614,4,left turn,30
94141,1,right turn,-100
94342,5,left turn,0
94407,4,right turn,110
94690,1,right turn,-40
94870,2,right turn,-10
94892,3,right turn,40
94918,4,right turn,110
95072,3,right turn,40
95100,4,right turn,110
95429,2,right turn,-100
95485,3,right turn,40
95511,4,right turn,110
95726,1,right turn,-100
95825,2,left turn,-100
96046,3,left turn,200
96318,2,right turn,-100
96375,3,right turn,40
96405,4,right turn,110
96611,2,right turn,-100
96666,3,right turn,40
96693,4,right turn,110
97222,5,left turn,0
97244,4,left turn,40
97262,3,left turn,70
97325,2,left turn,-100
97736,1,right turn,-100
97857,2,left turn,-100
98110,1,right turn,60
98273,4,right turn,110
98559,2,right turn,-30
98589,3,right turn,40
98615,4,right turn,110
99018,2,left turn,-100
99273,3,right turn,40
99300,4,right turn,110
99473,3,right turn,40
99500,4,right turn,110
99660,3,right turn,40
99689,4,right turn,110
99901,2,right turn,-100
99957,3,right turn,40
99983,4,right turn,110
100187,5,left turn,0
100251,4,right turn,110
100705,5,left turn,0
100749,4,left turn,60
101302,1,right turn,-100
101403,2,left turn,90
101639,1,right turn,-100
101839,2,right turn,-100
102040,5,left turn,0
102106,4,right turn,110
102525,2,right turn,-100
102647,3,left turn,-100
102746,2,right turn,-100
102802,3,right turn,40
102829,4,right turn,110
102992,3,right turn,40
103040,4,right turn,110
103397,3,right turn,40
103425,4,right turn,110
103721,3,right turn,40
103749,4,right turn,110
103906,3,right turn,40
103934,4,right turn,110
104136,5,left turn,0
104159,4,left turn,40
104198,3,left turn,110
104234,2,left turn,-100
104662,1,right turn,-100
104770,2,left turn,-100
105041,1,right turn,10
105206,2,right turn,20
105213,3,right turn,40
105239,4,right turn,110
105395,3,right turn,40
105423,4,right turn,110
105727,2,right turn,-80
105775,3,right turn,40
105802,4,right turn,110
106100,2,left turn,-100
106581,2,right turn,-100
106636,3,right turn,40
106663,4,right turn,110
106866,2,right turn,-100
106922,3,right turn,40
106948,4,right turn,110
107151,5,left turn,0
107215,4,right turn,110
107664,5,left turn,0
107693,4,left turn,30
107785,3,left turn,170
107800,2,left turn,-80
108489,1,right turn,-100
109030,5,left turn,0
109056,4,left turn,40
109262,1,right turn,-100
109363,2,right turn,-100
109493,1,right turn,-100
109755,2,right turn,-100
109818,3,right turn,40
109852,4,right turn,110
110014,3,right turn,40
110042,4,right turn,110
110248,2,left turn,-100
110522,3,right turn,40
110549,4,right turn,110
110674,3,right turn,40
110700,4,right turn,110
110852,3,right turn,40
110878,4,right turn,110
111080,2,right turn,-100
111136,3,right turn,40
111162,4,right turn,110
111320,3,right turn,40
111347,4,right turn,110
111585,2,right turn,0
